 Add the Justin Furstenfeld song to the latin pop rising playlist.
 Down on his luck
 Give me the list of films showing at night at Great Escape Theatres.

 Never to come on a green twig ' not to get on in the world.


 The hull (husk) and the full   in plenty Virtue is the highest good
 The hull husk and the full   in plenty Virtue is the highest good
 To be the cock in the basket   to be cock of the company
 Top 100 Rock Tracks on Spotify
"""A practice of infidels,"" he said to himself."
"""Al-Fayoum is in Egypt,"" said the Arab."
"""All I saw was an army,"" said the boy."
"""All things are one,"" the old man had said."
"""Always heed the omens,"" the old king had said."
"""Am I going to find my treasure?"" he asked."
"""Amira, congratulations on graduating summa cum laude.""2"
"""An alchemist,"" said the alchemist."
"""An army is coming,"" the boy said.2"
"""And I'd better read your books,"" said the boy."
"""And I'm certain you'll find it,"" the alchemist said."
"""And this is for me,"" said the alchemist, keeping one of the parts."
"""And what do you do in Salem?"" he insisted."
"""And you ought to read more about the world,"" answered the Englishman."
"""And you've told me nothing along the way,"" said the boy."
"""Another dreamer,"" said the ticket seller to his assistant, watching the boy walk away."
"""Another reason why Apple is superior to Microsoft"", the troll posted and grabbed some popcorn for the subsequent flame war."
"""Are you crazy?"" the boy asked the alchemist, when they had moved on."
"""Ask the owner of that stall how much the sword costs,"" he said to his friend."

"""Be careful with your prognostications,"" said the stranger."
"""Because I've always heard about them,"" the boy answered, saying nothing about his dream."
"""Because my eyes are not yet accustomed to the desert,"" the boy said."
"""Because of the omens,"" the alchemist answered."
"""Before this, I always looked to the desert with longing,"" said Fatima."
"""Before you go, I want to hug you"", she said."
"""Bravo!"", Charlie applauded."
"""Business has really improved,"" he said to the boy, after the customer had left."
"""But don't worry,"" the alchemist continued."
"""But I'd like to see the castles in the towns where they live,"" the boy explained."
"""But I'm going in search of my treasure,"" the boy said."
"""But I'm going to Egypt,"" the boy said."
"""But my heart is agitated,"" the boy said."
"""But none of that is from the Pyramids,"" said the alchemist."
"""But that's why you created the game in the first place,"" the boy answered."
"""But then they wouldn't be a part of your future,"" the seer had said."
"""But there was a sixth day,"" the sun went on."
"""But there's a tribal war,"" the boy reiterated."
"""But this payment goes well beyond my generosity,"" the monk responded."
"""Can I help you?"" asked the man behind the window."
"""Can't you just observe men and omens in order to understand the language?"" the boy asked."
"""Cheers mate,"" he said to the driver as he left the taxi."
"""Continue in the direction of the Pyramids,"" said the alchemist."
"""Did you learn anything?"" the Englishman asked, eager to hear what it might be."
"""Did you say a king?"" he asked."
"""Do you know someone here who cures people's illnesses?"" the boy asked."
"""Do you want to go to work for me?"" the merchant asked."
"""Does a man's heart always help him?"" the boy asked the alchemist."
"""Don't be impatient,"" he repeated to himself."
"""Don't give in to your fears,"" said the alchemist, in a strangely gentle voice."
"""Don't know,"" was the reply."
"""Don't let them see that you're afraid,"" the alchemist said."
"""Don't say anything,"" Fatima interrupted."
"""Drink and enjoy yourself,"" said the alchemist, noticing that the boy was feeling happier."
"""Enough,"" said the boy."
"""Everyone has his or her own way of learning things,"" he said to himself."
"""Everyone on earth has a treasure that awaits him,"" his heart said."
"""Everything in life is an omen,"" said the Englishman, now closing the journal he was reading."
"""Everything in the universe evolved,"" he said."
"""Exactly,"" answered the alchemist."
"""Fatima is a woman of the desert,"" said the alchemist."
"""Fatima,"" the girl said, averting her eyes."
"""From here on, you will be alone,"" the alchemist said."
"""From where I am,"" the sun said, ""I can see the Soul of the World."
"""Full steam ahead,"" said the captain."
"""Give me my book,"" the boy said."
"""Go and speak to the tribal chieftains,"" said the camel driver."
"""Go back to watching the caravan,"" he said."
"""Good-bye,"" said the boy."
"""Gypsies are experts at getting people to do that,"" sighed the old man."
"""He knew what I was thinking,"" the boy said to himself."
"""He lives at the Al-Fayoum oasis,"" his friend had said."
"""He needs three days,"" answered the alchemist."
"""He should have decided to become a shepherd,"" the boy said."
"""He wanted your money,"" he said."
"""Help me,"" the boy said."
"""Here, let me show you,"" said Ann."
"""Hey DJ, play the top one hundred tracks"""
"""How come you speak Spanish?"" he asked."
"""How did you learn to read?"" the girl asked at one point."
"""How many hens are there for one cock?"", I asked the farmer."
"""Hunches,"" his mother used to call them."
"""I am here,"" the boy said."
"""I am proud of you,"" he said."
"""I asked him to let me use the kitchen for a while,"" the alchemist smiled."
"""I came to tell you just one thing,"" the boy said."
"""I can clean up those glasses in the window, if you want,"" said the boy."
"""I can work for the rest of today,"" the boy answered."
"""I didn't come here to have you read my palm,"" he said, already regretting having come."
"""I didn't know shepherds knew how to read,"" said a girl's voice behind him."
"""I didn't need to waste my time just for this,"" he said."
"""I don't know how to find life in the desert,"" the boy said."
"""I don't know,"" she said."
"""I don't much like change,"" he said."
"""I don't understand what you're talking about,"" the desert said."
"""I had never heard of alchemists before,"" the boy said."
"""I had to test your courage,"" the stranger said."
"""I have clearly been discriminated because of my sex"", the feminist complained."
"""I have had the same dream twice,"" he said."
"""I have known true alchemists,"" the alchemist continued."
"""I have watched the caravan as it crossed the desert,"" he said."
"""I heard what you were talking about the other day with the alchemist,"" the wind said."
"""I make my living forecasting the future for people,"" he said."
"""I need it to get to the Pyramids,"" he said."
"""I need to sell some wool,"" the boy told the merchant."
"""I needed to concentrate more"", cried Jasper."
"""I noticed that,"" the boy answered."
"""I promised that I would make my own decisions,"" he said to himself."
"""I still have no idea how to turn myself into the wind,"" the boy repeated."
"""I still have no idea what to do next with my raspberry pi"", Emmett sighed."
"""I think they're going to last for a long time,"" he said to the monk."
"""I used to live near El Cairum,"" he said."
"""I waited all afternoon and evening,"" he said."
"""I want to see him do it,"" said the chief."
"""I want to stay at the oasis,"" the boy answered."
"""I want to tell you a story about dreams,"" said the alchemist."
"""I want you to help me turn myself into the wind,"" the boy answered."
"""I will find you."", she promised the little girl."
"""I'd like to build a display case for the crystal,"" the boy said to the merchant."
"""If good things are coming, they will be a pleasant surprise,"" said the seer."
"""I'll be back,"" the boy said."
"""I'll just watch him,"" he said to himself."
"""I'll return, just as your father came back to your mother,"" he said."
"""I'll work for you,"" he said."
"""I'm a woman of the desert,"" she said, averting her face."
"""I'm an adventurer, looking for treasure,"" he said to himself."
"""I'm an alchemist simply because I'm an alchemist,"" he said, as he prepared the meal."
"""I'm coming, Fatima,"" he said."
"""I'm going away,"" he said."
"""I'm going into the desert,"" the man answered, turning back to his reading."
"""I'm going to guide you across the desert,"" the alchemist said."
"""I'm going with you,"" the boy said."
"""I'm hunting with my falcon,"" the alchemist answered."
"""I'm just a man who wanders the desert and knows the stars,"" said the alchemist."
"""I'm leaving today,"" said the boy."
"""I'm looking for a treasure,"" said the boy, and he immediately regretted having said it."
"""I'm not going to charge you anything now,"" she said."
"""I'm not going very far,"" the alchemist answered, looking straight into the eyes of the horsemen."
"""I'm not hiding anything,"" the boy answered."
"""I'm observing passive-aggressive behavior"", the psychologist said in a professional tone."
"""I'm surprised,"" the boy said."
"""I'm the king of Salem,"" the old man had said."
"""I'm the leader of the caravan,"" said a dark-eyed, bearded man."
"""Imagine what we could have achieved together!"", he sobbed."
"""In a way, so am I,"" he said."
"""It doesn't matter,"" he said to his sheep."
"""It helped me to trust in people,"" the Englishman answered."
"""It is I who dared to do so,"" said the boy."
"""It is I,"" the boy answered."
"""It means only that the heart does what it can,"" the alchemist said."
"""It's a code,"" said the boy, a bit disappointed."
"""It's a dream in the language of the world,"" she said."
"""It's going to take a while,"" the boy said."
"""It's not easy to find the Philosopher's Stone,"" said the Englishman."
"""It's not what enters men's mouths that's evil,"" said the alchemist."
"""It's the Emerald Tablet,"" said the Englishman, proud that he might teach something to the boy."
"""It's the name of the Prophet's daughter,"" Fatima said."
"""It's the oasis,"" said the camel driver."
"""I've been looking for you all morning,"" he said, as he led the boy outside."
"""I've crossed these sands many times,"" said one of the camel drivers one night."
"""I've never had one before,"" the merchant answered."
"""Jellyfish can cause serious injuries"", the physician explained to the patient."
